title,description,url,company,rating,skills,location,salary_min,salary_max
Media Researcher for Tech PR Agency (Fully Remote),"Can happily work on their own, diving deep into a project, but also happily get on a Zoom call with team-members to talk through progress or a problem....","https://www.glassdoor.co.uk/job-listing/media-researcher-for-tech-pr-agency-fully-remote-sonus-pr-JV_IC2671300_KO0,48_KE49,57.htm?jl=1007966154107",Sonus PR,4.6,"5G, Database management, IT",Europe,521900000,918544000
Graduate Research Analyst,An academic passionate about learning and eager to explore new knowledge. Competitive rewards with an opportunity to be at the forefront of technology and...,"https://www.glassdoor.co.uk/job-listing/graduate-research-analyst-ncs-ltd-JV_IC2671300_KO0,25_KE26,33.htm?jl=1009337051224",Hidden for privacy reasons,0.0,"Analysis skills, AI, Communication skills",Europe,459272000,626280000
Graduate Tech Sales,Collaborate with the sales team to develop sales strategies and achieve sales targets. Present and demonstrate our technology products and solutions to...,"https://www.glassdoor.co.uk/job-listing/graduate-tech-sales-convergent-technology-ltd-JV_IC2671300_KO0,19_KE20,45.htm?jl=1009340304271",Hidden for privacy reasons,0.0,"Sales, Analysis skills, Communication skills",Europe,605404000,787025200
Junior Engineer / CAD Tech,Conducting site visits and surveys to collect the data as per project requirements. *Experience:* Minimum 1-2 years Industry experience within the Civils...,"https://www.glassdoor.co.uk/job-listing/junior-engineer-cad-tech-stockton-drilling-limited-JV_IC3319411_KO0,24_KE25,50.htm?jl=1009342160496",Hidden for privacy reasons,0.0,"Microsoft Powerpoint, AutoCAD, CAD, Communication skills, Mechanical knowledge",Europe,605404000,787025200
Engineering Tech Lead,"Interact with customers where appropriate. Payroll software: 2 years (preferred). Perks at Work – access to exclusive discounts, cinema tickets, etc....","https://www.glassdoor.co.uk/job-listing/engineering-tech-lead-ciphr-JV_IC2675152_KO0,21_KE22,27.htm?jl=1009341969608",Ciphr,3.0,"React, Application development, AWS, JavaScript, Terraform",Europe,981172000,1628328000
"TECHNICIAN, IT OPERATIONS, TECH SUPPORT","Provide 1st and/or 2nd level technical support to all customers/users either by telephone or on-site, supporting PC based hardware, operating systems and...","https://www.glassdoor.co.uk/job-listing/technician-it-operations-tech-support-bacardi-martini-JV_IC2671300_KO0,37_KE38,53.htm?jl=1009328213948",Bacardi-Martini,4.1,"Disaster recovery, Business processes, IT support, Root cause analysis, Communication skills",Europe,709784000,876792000
Junior Research Analyst,"Data analytics: You will deliver analytical activities across a range client engagements and data platforms (GA, Adobe etc.), extracting and processing data...","https://www.glassdoor.co.uk/job-listing/junior-research-analyst-good-growth-limited-JV_IC3378624_KO0,23_KE24,43.htm?jl=1009340250670",Hidden for privacy reasons,0.0,,Europe,521900000,626280000
Junior Tech Translator,"Benefits: time away from work, paid family/medical leave, holidays, health insurance, retirement benefits, modern notebook, and home office equipment budget....","https://www.glassdoor.co.uk/job-listing/junior-tech-translator-every-cure-JV_IC2671300_KO0,22_KE23,33.htm?jl=1009342754772",Hidden for privacy reasons,0.0,"Microsoft Powerpoint, Microsoft Excel, Data analysis skills, Analysis skills, Communication skills",Europe,1043800000,1461320000
Web Developer,Displaying Company products on the website. Optimization of the website and products using SEO. Writing effecient code using best practice for software...,"https://www.glassdoor.co.uk/job-listing/web-developer-v-tech-services-limited-JV_IC3283577_KO0,13_KE14,37.htm?jl=1009176813489",Hidden for privacy reasons,0.0,"CSS, English, Graphic design, JavaScript, Software development",Europe,459272000,542776000
Data & Analytics Graduate Programme - London,"FDM Group is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex...","https://www.glassdoor.co.uk/job-listing/data-analytics-graduate-programme-london-fdm-group-JV_IC2671300_KO0,40_KE41,50.htm?jl=1009332836477",FDM Group,3.2,"Microsoft Access, SQL, Communication skills",Europe,521900000,626280000
