"title","description","url","company","rating","skills","location","salary_min","salary_max"
"Media Researcher for Tech PR Agency (Fully Remote)","Can happily work on their own, diving deep into a project, but\n              also happily get on a Zoom call with team-members to talk through\n              progress or a problem.…","https://www.glassdoor.co.uk/job-listing/media-researcher-for-tech-pr-agency-fully-remote-sonus-pr-JV_IC2671300_KO0,48_KE49,57.htm?jl=1007966154107","Sonus PR","4.6","5G, Database management, IT","Europe","521900000","918544000"
"Graduate Research Analyst","An academic passionate about learning and eager to explore new\n              knowledge. Competitive rewards with an opportunity to be at the\n              forefront of technology and……","https://www.glassdoor.co.uk/job-listing/graduate-research-analyst-ncs-ltd-JV_IC2671300_KO0,25_KE26,33.htm?jl=1009337051224","Hidden for privacy reasons","0.0","Analysis skills, AI, Communication skills","Europe","459272000","626280000"
"Graduate Tech Sales","Collaborate with the sales team to develop sales strategies and\n              achieve sales targets. Present and demonstrate our technology\n              products and solutions to……","https://www.glassdoor.co.uk/job-listing/graduate-tech-sales-convergent-technology-ltd-JV_IC2671300_KO0,19_KE20,45.htm?jl=1009340304271","Hidden for privacy reasons","0.0","Sales, Analysis skills, Communication skills","Europe","605404000","787025200"
"Junior Engineer / CAD Tech","Conducting site visits and surveys to collect the data as per\n              project requirements. *Experience:* Minimum 1-2 years Industry\n              experience within the Civils……","https://www.glassdoor.co.uk/job-listing/junior-engineer-cad-tech-stockton-drilling-limited-JV_IC3319411_KO0,24_KE25,50.htm?jl=1009342160496","Hidden for privacy reasons","0.0","Microsoft Powerpoint, AutoCAD, CAD, Communication\n              skills, Mechanical knowledge","Europe","605404000","787025200"
"Engineering Tech Lead","Interact with customers where appropriate. Payroll software: 2\n              years (preferred). Perks at Work – access to exclusive discounts,\n              cinema tickets, etc.…","https://www.glassdoor.co.uk/job-listing/engineering-tech-lead-ciphr-JV_IC2675152_KO0,21_KE22,27.htm?jl=1009341969608","Ciphr","3.0","React, Application development, AWS, JavaScript,\n              Terraform","Europe","981172000","1628328000"
"TECHNICIAN, IT OPERATIONS, TECH SUPPORT","Provide 1st and/or 2nd level technical support to all\n              customers/users either by telephone or on-site, supporting PC\n              based hardware, operating systems and……","https://www.glassdoor.co.uk/job-listing/technician-it-operations-tech-support-bacardi-martini-JV_IC2671300_KO0,37_KE38,53.htm?jl=1009328213948","Bacardi-Martini","4.1","Disaster recovery, Business processes, IT support,\n              Root cause analysis, Communication skills","Europe","709784000","876792000"
"Junior Research Analyst","Data analytics: You will deliver analytical activities across a\n              range client engagements and data platforms (GA, Adobe etc.),\n              extracting and processing data……","https://www.glassdoor.co.uk/job-listing/junior-research-analyst-good-growth-limited-JV_IC3378624_KO0,23_KE24,43.htm?jl=1009340250670","Hidden for privacy reasons","0.0","","Europe","521900000","626280000"
"Junior Tech Translator","Benefits: time away from work, paid family/medical leave,\n              holidays, health insurance, retirement benefits, modern notebook,\n              and home office equipment budget.…","https://www.glassdoor.co.uk/job-listing/junior-tech-translator-every-cure-JV_IC2671300_KO0,22_KE23,33.htm?jl=1009342754772","Hidden for privacy reasons","0.0","Microsoft Powerpoint, Microsoft Excel, Data\n              analysis skills, Analysis skills, Communication skills","Europe","1043800000","1461320000"
"Web Developer","Displaying Company products on the website. Optimization of the\n              website and products using SEO. Writing effecient code using best\n              practice for software……","https://www.glassdoor.co.uk/job-listing/web-developer-v-tech-services-limited-JV_IC3283577_KO0,13_KE14,37.htm?jl=1009176813489","Hidden for privacy reasons","0.0","CSS, English, Graphic design, JavaScript, Software\n              development","Europe","459272000","542776000"
"Data & Analytics Graduate Programme - London","FDM Group is an equal opportunity employer, and all qualified\n              applicants will receive consideration for employment without\n              regard to race, colour, religion, sex……","https://www.glassdoor.co.uk/job-listing/data-analytics-graduate-programme-london-fdm-group-JV_IC2671300_KO0,40_KE41,50.htm?jl=1009332836477","FDM Group","3.2","Microsoft Access, SQL, Communication skills","Europe","521900000","626280000"
"Tech Risk Specialist","We offer different working arrangements like part-time,\n              job-sharing and hybrid (office and home) working. Furthermore, we\n              facilitate risk forums, and contribute……","https://www.glassdoor.co.uk/job-listing/tech-risk-specialist-ubs-JV_IC2671300_KO0,20_KE21,24.htm?jl=1009328229307","UBS","3.9","English","Europe","1356940000","2525996000"
"Night Shift Production Operator","Provide support functions to the manufacture of medication (e.g.\n              cleaning of ingredients, labelling of product). Up to £1200 refer\n              a friend bonus.…","https://www.glassdoor.co.uk/job-listing/night-shift-production-operator-lloydspharmacy-clinical-homecare-JV_IC3315414_KO0,31_KE32,64.htm?jl=1009342062724","Hidden for privacy reasons","0.0","Home care, Communication skills","Europe","688908000","895580400"
"Personal Assistant / PA to Founder. No Crazy Hours!","I am slightly dyslexic and have a reasonable serving of ADHD. I’m\n              Gary Brown, the sole founder of two companies (B2B Service and a\n              Fintech), both of which have……","https://www.glassdoor.co.uk/job-listing/personal-assistant-pa-to-founder-no-crazy-hours-recruitment-revolution-JV_IC3294608_KO0,47_KE48,70.htm?jl=1009341852834","Recruitment Revolution","5.0","Microsoft Office, Project management,\n              Organisational skills, Communication skills, Time management","Europe","939420000","1356940000"
"Warehouse Operative - Days","Most of all, you’ll work hard to make sure our drivers leave the\n              warehouse on time and with the right orders in their trucks, so\n              our customers get the food they……","https://www.glassdoor.co.uk/job-listing/warehouse-operative-days-bidfood-JV_IC2670058_KO0,24_KE25,32.htm?jl=1009346007287","Hidden for privacy reasons","0.0","","Europe","668032000","868441600"
"Web Developer (Junior to Mid-range)","Web development: 2 years (required). Collaborate with the Scrum\n              team to understand project requirements and technical\n              specifications.…","https://www.glassdoor.co.uk/job-listing/web-developer-junior-to-mid-range-hydro-cleansing-JV_IC3314108_KO0,33_KE34,49.htm?jl=1009336860536","Hydro Cleansing","2.2","MVC, CSS, Bootstrap, React, Web development","Europe","626280000","730660000"
"Junior QA, Support","Respond in timely manner to requests and issues. Familiarity with\n              project management approaches, tools and phases of the project\n              lifecycle.…","https://www.glassdoor.co.uk/job-listing/junior-qa-support-push-gaming-JV_IC2671300_KO0,17_KE18,29.htm?jl=1009328900728","Push Gaming","4.4","Customer service, Project management, Zendesk,\n              Organisational skills, Communication skills","Europe","605404000","876792000"
"Tech Support","We are seeking the best customer-focused IT or security expert to\n              support our business buyers with issues that may arise onsite\n              post-purchase or pre-sales.…","https://www.glassdoor.co.uk/job-listing/tech-support-cctvdirect-JV_IC3414359_KO0,12_KE13,23.htm?jl=1008944330729","Hidden for privacy reasons","0.0","Customer service, Technical support, Remote access\n              software, IT support, Computer networking","Europe","521900000","626280000"
"Tech Support Specialist","Provide telephone, email and remote-diagnostic service support,\n              (as required), to Carl Zeiss service personnel, agents and\n              customers in a timely and efficient……","https://www.glassdoor.co.uk/job-listing/tech-support-specialist-zeiss-group-JV_IC2662516_KO0,23_KE24,35.htm?jl=1009326013844","ZEISS Group","4.0","","Europe","605404000","709784000"
"Technical Support Trainee","Provide Updates: Ensure timely and courteous updates to internal\n              and external customers via phone and email. A £60 per month well\n              being allowance.…","https://www.glassdoor.co.uk/job-listing/technical-support-trainee-first-mile-JV_IC3313774_KO0,25_KE26,36.htm?jl=1009286565340","First Mile","4.2","Windows, Microsoft Office, Computer hardware,\n              Computer networking, Communication skills","Europe","542776000","584528000"
"Junior Data Scientist","As a business built on data, every interaction—from website visits\n              to home upgrades—provides the opportunity to enhance the user\n              experience.…","https://www.glassdoor.co.uk/job-listing/junior-data-scientist-skoon-energy-group-ltd-JV_IC2671300_KO0,21_KE22,44.htm?jl=1009243439101","skoon energy group ltd.","1.5","Cloud infrastructure, Azure, Google Cloud Platform,\n              SQL, AWS","Europe","626280000","939420000"
"Junior Enterprise IT Support Technician - London","Client focused with an ability to build relationships with\n              customers. Log and manage calls using the Company’s help desk\n              software.…","https://www.glassdoor.co.uk/job-listing/junior-enterprise-it-support-technician-london-acturis-JV_IC2671300_KO0,46_KE47,54.htm?jl=1009308467904","Acturis","4.0","Microsoft Windows Server, Microsoft Outlook, SCCM,\n              Computer literacy, Windows","Europe","584528000","668032000"
"Customer Service & Admin Assistant","A health plan that gives you money back on everyday medical costs\n              for all the family, as well as access to a digital GP. 25 days\n              holiday (plus bank holidays).…","https://www.glassdoor.co.uk/job-listing/customer-service-admin-assistant-bidfood-JV_IC2671300_KO0,32_KE33,40.htm?jl=1009344787497","Hidden for privacy reasons","0.0","Customer service, IT, Communication skills","Europe","542776000","705608800"
"Web Developer","Manage Server configurations and ensure smooth functioning of web\n              applications. Apply principles of Web design to create visually\n              appealing and user-friendly……","https://www.glassdoor.co.uk/job-listing/web-developer-corenet-tech-uk-JV_IC3282857_KO0,13_KE14,29.htm?jl=1009331439645","Hidden for privacy reasons","0.0","Node.js, JavaScript, Django, Communication skills","Europe","730660000","949858000"
"Data Analyst","Plus 2 days a year - on us! - to further your skillset. Medical\n              cash plan - To help you with the costs of dental, optical and\n              physio (plus more!).…","https://www.glassdoor.co.uk/job-listing/data-analyst-marshmallow-JV_IC2671300_KO0,12_KE13,24.htm?jl=1009342166045","marshmallow","4.1","Data analysis skills, Tableau, SQL, Analysis\n              skills, Data visualisation","Europe","1356940000","1398692000"
"Backend engineer (Fin-tech)","A get-stuck-in, roll-up-your-sleeves attitude, a thirst to learn\n              and drive build an awesome and innovative product for all your\n              customers, no matter if it's one……","https://www.glassdoor.co.uk/job-listing/backend-engineer-fin-tech-bluestorm-recruitment-by-dazzle-JV_IC2671300_KO0,25_KE26,57.htm?jl=1008653446548","Bluestorm Recruitment by Dazzle","3.0","Elasticsearch, Node.js, iOS development, Software\n              deployment, DevOps","Europe","1148180000","1899716000"
"Credit Controller/Collections Officer (100% Remote)","Communicate via email or telephone, with clients and partners\n              throughout the US, regarding outstanding invoices. Contract:\n              Full-time, Independent Contractor.…","https://www.glassdoor.co.uk/job-listing/credit-controller-collections-officer-100-remote-sterlington-pllc-JV_IC3376957_KO0,48_KE49,65.htm?jl=1009302772333","Sterlington, PLLC","4.1","English, Administrative experience, Communication\n              skills","Europe","501024000","521900000"
"Business Analyst","Present findings, recommendations, and project updates to\n              stakeholders in a clear and concise manner. You will collaborate\n              with various stakeholders, including……","https://www.glassdoor.co.uk/job-listing/business-analyst-mpl-claims-management-JV_IC3315484_KO0,16_KE17,38.htm?jl=1009333015817","Hidden for privacy reasons","0.0","Business analysis, Tableau, SQL, Analysis skills,\n              Project management","Europe","1252560000","1628328000"
"Senior DevOps","Generous holiday allowance, including the full Christmas to New\n              Year as a break on us. Collaborate with development teams to\n              ensure DevOps practices are……","https://www.glassdoor.co.uk/job-listing/senior-devops-lavanda-ventures-ltd-JV_IC2671300_KO0,13_KE14,34.htm?jl=1009240241624","Lavanda Ventures Ltd.","4.5","Cloud infrastructure, Azure, Kubernetes, DevOps,\n              Google Cloud Platform","Europe","1565700000","1774460000"
"Junior Technical Support Engineer","Our TechOps team are central to keeping the business operating and\n              aims to provide a first-class service to all internal customers.…","https://www.glassdoor.co.uk/job-listing/junior-technical-support-engineer-trainline-JV_IC2671300_KO0,33_KE34,43.htm?jl=1009331430184","Trainline","3.9","Jira, TCP, LAN, Technical support, DHCP","Europe","918544000","1002048000"
"Telecoms Support Advisor - 1st line Tech","Answering customer queries through phone calls and email requests.\n              Knowledge or interest in IT systems/networking and telephone\n              systems.…","https://www.glassdoor.co.uk/job-listing/telecoms-support-advisor-1st-line-tech-radius-payment-solutions-JV_IC3304415_KO0,38_KE39,63.htm?jl=1009322334646","Radius Payment Solutions","3.1","VoIP, IT","Europe","501024000","651331200"
"Receptionist","The Welcome Host is the first point of contact for all visitors\n              and colleagues arriving on the floor, making first impressions as\n              an ambassador for our client’s……","https://www.glassdoor.co.uk/job-listing/receptionist-wsh-group-JV_IC2671300_KO0,12_KE13,22.htm?jl=1009337109759","WSH Group","4.1","Customer service, Front desk, Communication skills","Europe","709784000","922719200"
"Data Analyst (Growth)","Your role will be to integrate your analysis seamlessly into their\n              everyday decision-making, understanding diverse objectives, and\n              driving data-driven……","https://www.glassdoor.co.uk/job-listing/data-analyst-growth-fresha-JV_IC2671300_KO0,19_KE20,26.htm?jl=1009302754224","Fresha","5.0","Data modelling, R, SQL, Analysis skills, Driving","Europe","584528000","1043800000"
"Front End Developer","Altrincham - ONSITE 5 DAYS PER WEEK *. They are looking for\n              experienced, visionary developers, to help develop and maintain\n              scalable and innovative web……","https://www.glassdoor.co.uk/job-listing/front-end-developer-uniting-people-JV_IC2691218_KO0,19_KE20,34.htm?jl=1009339788326","Uniting People","4.3","React, JavaScript","Europe","835040000","1043800000"
"Frontend Engineer - Remote Within UK","Flexible workplace policy, allowing you to work either from home\n              or our office space. Proven working experience with modern state\n              management libraries,……","https://www.glassdoor.co.uk/job-listing/frontend-engineer-remote-within-uk-adjust-JV_IC2671300_KO0,34_KE35,41.htm?jl=1009337320740","Adjust","3.9","CSS, React, Test automation, English, JavaScript","Europe","1106428000","1920592000"
"Receptionist for High growth Tech Company (Part time)","Answer and direct incoming calls to appropriate departments or\n              individuals. Looking after the reception desk and be the first\n              point of contact for visitors.…","https://www.glassdoor.co.uk/job-listing/receptionist-for-high-growth-tech-company-part-time-bluestorm-recruitment-by-dazzle-JV_IC2671300_KO0,51_KE52,83.htm?jl=1008653379966","Bluestorm Recruitment by Dazzle","3.0","Filing, Microsoft Office, Data entry, Front desk,\n              Computer skills","Europe","521900000","605404000"
"Trainee Recruitment Consultant – Clean Tech, Sustainability &\n            Energy","You’ll be working with the likes of their top biller who’s 26 and\n              taking home 50k comms per quarter. 90% of consultants are on track\n              to get to principal or……","https://www.glassdoor.co.uk/job-listing/trainee-recruitment-consultant-clean-tech-sustainability-energy-27-talent-JV_IC2671300_KO0,63_KE64,73.htm?jl=1009286493605","Hidden for privacy reasons","0.0","","Europe","521900000","730660000"
"Dev Ops Engineer","Identify and recommend solutions that benefit sales-i and\n              ultimately our customers. JOB PURPOSE The Dev Ops Engineer\n              provides support for the design, build,……","https://www.glassdoor.co.uk/job-listing/dev-ops-engineer-sugarcrm-JV_IC3254456_KO0,16_KE17,25.htm?jl=1009309692969","SugarCRM","3.8","Azure, GitHub","Europe","688908000","1461320000"
"Junior Finance Assistant","Be a Problem Solver: Handle ad-hoc queries from across the\n              business, providing quick and efficient solutions to various\n              financial and administrative challenges.…","https://www.glassdoor.co.uk/job-listing/junior-finance-assistant-product-marketing-alliance-JV_IC2671300_KO0,24_KE25,51.htm?jl=1009314259637","Product Marketing Alliance","4.5","IT, Communication skills","Europe","542776000","705608800"
"Tech Support Coordinator","Provide end to end ownership of all incidents, requests and\n              problems as well as supporting incoming tickets through telephone\n              calls or through self-service.…","https://www.glassdoor.co.uk/job-listing/tech-support-coordinator-dunelm-JV_IC3252957_KO0,24_KE25,31.htm?jl=1009327564768","Dunelm","3.8","Jira, Operating systems, Microsoft Office, IVR, Mac\n              OS","Europe","501024000","563652000"
"Cleaner","To ensure that good Health and Safety procedures are always\n              enforced for the protection of you, other staff and customers.\n              Clean to a high standard.…","https://www.glassdoor.co.uk/job-listing/cleaner-tenpin-chester-JV_IC3313882_KO0,7_KE8,22.htm?jl=1009343247797","Tenpin - Chester","3.0","IT","Europe","501024000","521900000"
"Web Developer","Taking XD designs and turning them into fantastic HTML pages.\n              Taking a project from the very start right through to completion.\n              On-Site (One Day A Week Remote).…","https://www.glassdoor.co.uk/job-listing/web-developer-the-problem-solved-people-JV_IC3414359_KO0,13_KE14,39.htm?jl=1009325996444","Hidden for privacy reasons","0.0","CSS, WordPress, JavaScript, HTML5","Europe","626280000","730660000"
"Trainee Recruitment Consultant – Tech Sector!","1 day WFH after your first deal and 2 days WFH after your first\n              promotion. You'll be responsible for understanding the unique\n              needs of both candidates and……","https://www.glassdoor.co.uk/job-listing/trainee-recruitment-consultant-tech-sector-27-talent-JV_IC2671300_KO0,42_KE43,52.htm?jl=1009329495568","Hidden for privacy reasons","0.0","Communication skills, Time management","Europe","501024000","1043800000"
"Software Engineer - Connect","Owns the primary routing points for public or non-public\n              connections into and out of Wise’s infrastructure. Ensuring the\n              lowest money transfer fees and timely……","https://www.glassdoor.co.uk/job-listing/software-engineer-connect-wise-JV_IC2671300_KO0,25_KE26,30.htm?jl=1009318381357","Wise","4.0","Go, Kubernetes, Google Cloud Platform, Java,\n              Microservices","Europe","1252560000","1670080000"
"Global Customer Support Specialist","Collaborate with Customer Success, System Reliability, and\n              Engineering teams to ensure timely resolution within agreed\n              service levels, while communicating……","https://www.glassdoor.co.uk/job-listing/global-customer-support-specialist-epsilon-JV_IC2671300_KO0,34_KE35,42.htm?jl=1009311681414","Epsilon","3.9","Jira, Multilingual, Customer service, Google Cloud\n              Platform, Organisational skills","Europe","501024000","1878840000"
"Graduate Engineer","Assisting with a range of sales and R&D scopes. Visit and\n              liaise with Clients to support sales and ongoing projects. Attend\n              exhibitions/trade shows/conferences.…","https://www.glassdoor.co.uk/job-listing/graduate-engineer-origin-JV_IC3293413_KO0,17_KE18,24.htm?jl=1009335634676","Hidden for privacy reasons","0.0","ArcGIS, Microsoft Excel, Analysis skills, Python","Europe","668032000","868441600"
"Warehouse Operative - Nights","Most of all, you’ll work hard to make sure our drivers leave the\n              warehouse on time and with the right orders in their trucks, so\n              our customers get the food they……","https://www.glassdoor.co.uk/job-listing/warehouse-operative-nights-bidfood-JV_IC3315896_KO0,26_KE27,34.htm?jl=1009339002458","Hidden for privacy reasons","0.0","","Europe","584528000","759886400"
"HR Admin Apprentice","Dealing effectively with internal customers, using interpersonal\n              skills and communicating well through a range of media e.g.\n              online, phone, face to face and……","https://www.glassdoor.co.uk/job-listing/hr-admin-apprentice-cipd-JV_IC3414387_KO0,19_KE20,24.htm?jl=1009338822983","CIPD","3.4","Microsoft Office, Administrative experience,\n              Analysis skills, Human resources, Communication skills","Europe","542776000","705608800"
"Business Analyst","Demonstrable experience of being able to operate and lead in\n              fast-paced and dynamic product-led environments. Conduct subject\n              matter expert meetings, workshops,……","https://www.glassdoor.co.uk/job-listing/business-analyst-choreograph-JV_IC2671300_KO0,16_KE17,28.htm?jl=1009335935920","Choreograph","3.8","Business analysis, Business processes, Tableau,\n              Analysis skills, Organisational skills","Europe","1148180000","1252560000"
"Graduate - Junior Buyer","Working with the category leads across the Hardware and Software\n              categories providing Procurement support on sourcing, contracting\n              and administration activities……","https://www.glassdoor.co.uk/job-listing/graduate-junior-buyer-sita-switzerland-sarl-JV_IC2671300_KO0,21_KE22,43.htm?jl=1009320854684","SITA Switzerland Sarl","3.8","Procurement, Data analysis skills, Analysis skills,\n              Market research, Communication skills","Europe","793288000","1148180000"
"Graduate Opportunities","25 days holiday plus bank holidays and an additional day off on\n              your birthday. Company-funded private health insurance.\n              Interest-free season ticket loan.…","https://www.glassdoor.co.uk/job-listing/graduate-opportunities-mint-velvet-JV_IC2681375_KO0,22_KE23,34.htm?jl=1009246499304","Mint Velvet","4.2","","Europe","501024000","1043800000"
